"REF_DATE","GEO","DGUID","Sales and resales","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Canada","2016A000011124","Total greenhouse sales","Dollars","81","units ","0","v52221769","1.1","2266933535","","","","0"
"2007","Canada","2016A000011124","Fruit and vegetable sales","Dollars","81","units ","0","v52221780","1.2","788874785","","","","0"
"2007","Canada","2016A000011124","Flower and plant sales and resales","Dollars","81","units ","0","v52221791","1.3","1478058750","","","","0"
"2007","Canada","2016A000011124","Flower and plant sales","Dollars","81","units ","0","v52313483","1.4","","..","","","0"
"2007","Canada","2016A000011124","Flower and plant resales","Dollars","81","units ","0","v52313494","1.5","","..","","","0"
"2007","Newfoundland and Labrador","2016A000210","Total greenhouse sales","Dollars","81","units ","0","v52221759","2.1","7347650","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Fruit and vegetable sales","Dollars","81","units ","0","v52221770","2.2","","x","","","0"
"2007","Newfoundland and Labrador","2016A000210","Flower and plant sales and resales","Dollars","81","units ","0","v52221781","2.3","","x","","","0"
"2007","Newfoundland and Labrador","2016A000210","Flower and plant sales","Dollars","81","units ","0","v52313473","2.4","","..","","","0"
"2007","Newfoundland and Labrador","2016A000210","Flower and plant resales","Dollars","81","units ","0","v52313484","2.5","","..","","","0"
"2007","Prince Edward Island","2016A000211","Total greenhouse sales","Dollars","81","units ","0","v52221760","3.1","2607820","","","","0"
"2007","Prince Edward Island","2016A000211","Fruit and vegetable sales","Dollars","81","units ","0","v52221771","3.2","552070","","","","0"
"2007","Prince Edward Island","2016A000211","Flower and plant sales and resales","Dollars","81","units ","0","v52221782","3.3","2055750","","","","0"
"2007","Prince Edward Island","2016A000211","Flower and plant sales","Dollars","81","units ","0","v52313474","3.4","","..","","","0"
"2007","Prince Edward Island","2016A000211","Flower and plant resales","Dollars","81","units ","0","v52313485","3.5","","..","","","0"
"2007","Nova Scotia","2016A000212","Total greenhouse sales","Dollars","81","units ","0","v52221761","4.1","23928400","","","","0"
"2007","Nova Scotia","2016A000212","Fruit and vegetable sales","Dollars","81","units ","0","v52221772","4.2","5053400","E","","","0"
"2007","Nova Scotia","2016A000212","Flower and plant sales and resales","Dollars","81","units ","0","v52221783","4.3","18875000","","","","0"
"2007","Nova Scotia","2016A000212","Flower and plant sales","Dollars","81","units ","0","v52313475","4.4","","..","","","0"
"2007","Nova Scotia","2016A000212","Flower and plant resales","Dollars","81","units ","0","v52313486","4.5","","..","","","0"
"2007","New Brunswick","2016A000213","Total greenhouse sales","Dollars","81","units ","0","v52221762","5.1","38524070","","","","0"
"2007","New Brunswick","2016A000213","Fruit and vegetable sales","Dollars","81","units ","0","v52221773","5.2","472270","","","","0"
"2007","New Brunswick","2016A000213","Flower and plant sales and resales","Dollars","81","units ","0","v52221784","5.3","38051800","","","","0"
"2007","New Brunswick","2016A000213","Flower and plant sales","Dollars","81","units ","0","v52313476","5.4","","..","","","0"
"2007","New Brunswick","2016A000213","Flower and plant resales","Dollars","81","units ","0","v52313487","5.5","","..","","","0"
"2007","Quebec","2016A000224","Total greenhouse sales","Dollars","81","units ","0","v52221763","6.1","249522000","","","","0"
"2007","Quebec","2016A000224","Fruit and vegetable sales","Dollars","81","units ","0","v52221774","6.2","75522000","","","","0"
"2007","Quebec","2016A000224","Flower and plant sales and resales","Dollars","81","units ","0","v52221785","6.3","174000000","","","","0"
"2007","Quebec","2016A000224","Flower and plant sales","Dollars","81","units ","0","v52313477","6.4","","..","","","0"
"2007","Quebec","2016A000224","Flower and plant resales","Dollars","81","units ","0","v52313488","6.5","","..","","","0"
"2007","Ontario","2016A000235","Total greenhouse sales","Dollars","81","units ","0","v52221764","7.1","1263085000","","","","0"
"2007","Ontario","2016A000235","Fruit and vegetable sales","Dollars","81","units ","0","v52221775","7.2","488585000","","","","0"
"2007","Ontario","2016A000235","Flower and plant sales and resales","Dollars","81","units ","0","v52221786","7.3","774500000","","","","0"
"2007","Ontario","2016A000235","Flower and plant sales","Dollars","81","units ","0","v52313478","7.4","","..","","","0"
"2007","Ontario","2016A000235","Flower and plant resales","Dollars","81","units ","0","v52313489","7.5","","..","","","0"
"2007","Manitoba","2016A000246","Total greenhouse sales","Dollars","81","units ","0","v52221765","8.1","31526970","","","","0"
"2007","Manitoba","2016A000246","Fruit and vegetable sales","Dollars","81","units ","0","v52221776","8.2","","x","","","0"
"2007","Manitoba","2016A000246","Flower and plant sales and resales","Dollars","81","units ","0","v52221787","8.3","","x","","","0"
"2007","Manitoba","2016A000246","Flower and plant sales","Dollars","81","units ","0","v52313479","8.4","","..","","","0"
"2007","Manitoba","2016A000246","Flower and plant resales","Dollars","81","units ","0","v52313490","8.5","","..","","","0"
"2007","Saskatchewan","2016A000247","Total greenhouse sales","Dollars","81","units ","0","v52221766","9.1","21822425","","","","0"
"2007","Saskatchewan","2016A000247","Fruit and vegetable sales","Dollars","81","units ","0","v52221777","9.2","691425","","","","0"
"2007","Saskatchewan","2016A000247","Flower and plant sales and resales","Dollars","81","units ","0","v52221788","9.3","21131000","","","","0"
"2007","Saskatchewan","2016A000247","Flower and plant sales","Dollars","81","units ","0","v52313480","9.4","","..","","","0"
"2007","Saskatchewan","2016A000247","Flower and plant resales","Dollars","81","units ","0","v52313491","9.5","","..","","","0"
"2007","Alberta","2016A000248","Total greenhouse sales","Dollars","81","units ","0","v52221767","10.1","120856000","","","","0"
"2007","Alberta","2016A000248","Fruit and vegetable sales","Dollars","81","units ","0","v52221778","10.2","37345000","","","","0"
"2007","Alberta","2016A000248","Flower and plant sales and resales","Dollars","81","units ","0","v52221789","10.3","83511000","","","","0"
"2007","Alberta","2016A000248","Flower and plant sales","Dollars","81","units ","0","v52313481","10.4","","..","","","0"
"2007","Alberta","2016A000248","Flower and plant resales","Dollars","81","units ","0","v52313492","10.5","","..","","","0"
"2007","British Columbia","2016A000259","Total greenhouse sales","Dollars","81","units ","0","v52221768","11.1","507713200","","","","0"
"2007","British Columbia","2016A000259","Fruit and vegetable sales","Dollars","81","units ","0","v52221779","11.2","179963200","","","","0"
"2007","British Columbia","2016A000259","Flower and plant sales and resales","Dollars","81","units ","0","v52221790","11.3","327750000","","","","0"
"2007","British Columbia","2016A000259","Flower and plant sales","Dollars","81","units ","0","v52313482","11.4","","..","","","0"
"2007","British Columbia","2016A000259","Flower and plant resales","Dollars","81","units ","0","v52313493","11.5","","..","","","0"
"2008","Canada","2016A000011124","Total greenhouse sales","Dollars","81","units ","0","v52221769","1.1","2168141282","","","","0"
"2008","Canada","2016A000011124","Fruit and vegetable sales","Dollars","81","units ","0","v52221780","1.2","880584015","","","","0"
