"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Total value of greenhouse products",32100023,001-0051,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210002301",5,"CURRENT - a cube available to the public and that is current",Annual,2007-01-01,2020-01-01,2

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,"Sales and resales",,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,[11124],1,,,,
1,"Newfoundland and Labrador",[10],2,1,,,
1,"Prince Edward Island",[11],3,1,,,
1,"Nova Scotia",[12],4,1,,,
1,"New Brunswick",[13],5,1,,,
1,Quebec,[24],6,1,,,
1,Ontario,[35],7,1,,,
1,Manitoba,[46],8,1,,,
1,Saskatchewan,[47],9,1,,,
1,Alberta,[48],10,1,,,
1,"British Columbia",[59],11,1,,,
2,"Total greenhouse sales",,1,,,4,
2,"Fruit and vegetable sales",,2,1,,1;3,
2,"Flower and plant sales and resales",,3,1,,2,
2,"Flower and plant sales",,4,3,,3;5,
2,"Flower and plant resales",,5,3,,,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
3416,"Annual Greenhouse, Sod and Nursery Survey"

"Subject Code","Subject Name"
32,"Agriculture and food"

"Note ID",Note
1,"Vegetable sales in 2007 was revised to include 'other greenhouse vegetables' specifically greenhouse Chinese vegetables, herbs and sprouts."
2,"Includes resale value."
3,"Farm gate value (before sales tax)."
4,"Operations which exclusively produce tree seedlings for reforestation are out of scope since the 2016 survey. Prior surveys have included their production, affecting also greenhouse area, production, sales, labour and expenses variables."
5,"Excludes cannabis sales."

"Correction ID","Correction Date","Correction Note"


