"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1964","Canada","2016A000011124","Area beds, total","Square feet","279","thousands","3","v74641","1.1","4137","","","","0"
"1964","Canada","2016A000011124","Area harvested, total","Square feet","279","thousands","3","v74650","1.2","10006","","","","0"
"1964","Canada","2016A000011124","Production (fresh and processed), total","Tons","291","units ","0","v74656","1.3","9156","","","","0"
"1964","Canada","2016A000011124","Quantity sold fresh, total","Tons","291","units ","0","v74657","1.4","3923","","","","0"
"1964","Canada","2016A000011124","Quantity sold processed, total","Tons","291","units ","0","v74658","1.5","5233","","","","0"
"1964","Canada","2016A000011124","Value (fresh and processed), total","Dollars","81","thousands","3","v74674","1.6","7389","","","","0"
"1964","Canada","2016A000011124","Value sold fresh, total","Dollars","81","thousands","3","v74675","1.7","3546","","","","0"
"1964","Canada","2016A000011124","Value sold processed, total","Dollars","81","thousands","3","v74676","1.8","3843","","","","0"
"1964","Eastern Canada (Maritimes, Quebec and Ontario)","","Area beds, total","Square feet","279","thousands","3","v74642","2.1","2923","","","t","0"
"1964","Eastern Canada (Maritimes, Quebec and Ontario)","","Area harvested, total","Square feet","279","thousands","3","v74651","2.2","7000","","","t","0"
"1964","Eastern Canada (Maritimes, Quebec and Ontario)","","Production (fresh and processed), total","Tons","291","units ","0","v74659","2.3","7350","","","t","0"
"1964","Eastern Canada (Maritimes, Quebec and Ontario)","","Quantity sold fresh, total","Tons","291","units ","0","v74660","2.4","3116","","","t","0"
"1964","Eastern Canada (Maritimes, Quebec and Ontario)","","Quantity sold processed, total","Tons","291","units ","0","v74664","2.5","4234","","","t","0"
"1964","Eastern Canada (Maritimes, Quebec and Ontario)","","Value (fresh and processed), total","Dollars","81","thousands","3","v74677","2.6","5830","","","t","0"
"1964","Eastern Canada (Maritimes, Quebec and Ontario)","","Value sold fresh, total","Dollars","81","thousands","3","v74678","2.7","2706","","","t","0"
"1964","Eastern Canada (Maritimes, Quebec and Ontario)","","Value sold processed, total","Dollars","81","thousands","3","v74682","2.8","3124","","","t","0"
"1964","Prairie provinces","2016A00014","Area beds, total","Square feet","279","thousands","3","v74645","5.1","263","","","","0"
"1964","Prairie provinces","2016A00014","Area harvested, total","Square feet","279","thousands","3","v74654","5.2","666","","","","0"
"1964","Prairie provinces","2016A00014","Production (fresh and processed), total","Tons","291","units ","0","v74668","5.3","403","","","","0"
"1964","Prairie provinces","2016A00014","Quantity sold fresh, total","Tons","291","units ","0","v74669","5.4","232","","","","0"
"1964","Prairie provinces","2016A00014","Quantity sold processed, total","Tons","291","units ","0","v74670","5.5","171","","","","0"
"1964","Prairie provinces","2016A00014","Value (fresh and processed), total","Dollars","81","thousands","3","v74686","5.6","371","","","","0"
"1964","Prairie provinces","2016A00014","Value sold fresh, total","Dollars","81","thousands","3","v74687","5.7","243","","","","0"
"1964","Prairie provinces","2016A00014","Value sold processed, total","Dollars","81","thousands","3","v74688","5.8","128","","","","0"
"1964","British Columbia","2016A000259","Area beds, total","Square feet","279","thousands","3","v74646","6.1","951","","","","0"
"1964","British Columbia","2016A000259","Area harvested, total","Square feet","279","thousands","3","v74655","6.2","2340","","","","0"
"1964","British Columbia","2016A000259","Production (fresh and processed), total","Tons","291","units ","0","v74671","6.3","1404","","","","0"
"1964","British Columbia","2016A000259","Quantity sold fresh, total","Tons","291","units ","0","v74672","6.4","576","","","","0"
"1964","British Columbia","2016A000259","Quantity sold processed, total","Tons","291","units ","0","v74673","6.5","828","","","","0"
"1964","British Columbia","2016A000259","Value (fresh and processed), total","Dollars","81","thousands","3","v74647","6.6","1188","","","","0"
"1964","British Columbia","2016A000259","Value sold fresh, total","Dollars","81","thousands","3","v74648","6.7","597","","","","0"
"1964","British Columbia","2016A000259","Value sold processed, total","Dollars","81","thousands","3","v74649","6.8","591","","","","0"
"1965","Canada","2016A000011124","Area beds, total","Square feet","279","thousands","3","v74641","1.1","4000","","","","0"
"1965","Canada","2016A000011124","Area harvested, total","Square feet","279","thousands","3","v74650","1.2","9399","","","","0"
"1965","Canada","2016A000011124","Production (fresh and processed), total","Tons","291","units ","0","v74656","1.3","9439","","","","0"
"1965","Canada","2016A000011124","Quantity sold fresh, total","Tons","291","units ","0","v74657","1.4","4022","","","","0"
"1965","Canada","2016A000011124","Quantity sold processed, total","Tons","291","units ","0","v74658","1.5","5417","","","","0"
"1965","Canada","2016A000011124","Value (fresh and processed), total","Dollars","81","thousands","3","v74674","1.6","7875","","","","0"
"1965","Canada","2016A000011124","Value sold fresh, total","Dollars","81","thousands","3","v74675","1.7","3793","","","","0"
"1965","Canada","2016A000011124","Value sold processed, total","Dollars","81","thousands","3","v74676","1.8","4082","","","","0"
"1965","Eastern Canada (Maritimes, Quebec and Ontario)","","Area beds, total","Square feet","279","thousands","3","v74642","2.1","2892","","","t","0"
"1965","Eastern Canada (Maritimes, Quebec and Ontario)","","Area harvested, total","Square feet","279","thousands","3","v74651","2.2","6678","","","t","0"
